Symbol,Name
A,Agilent Technologies Inc. Common Stock
AA,Alcoa Corporation Common Stock 
AAIC,Arlington Asset Investment Corp Class A (new)
AAIC.PRB,Arlington Asset Investment Corp
AAIC.PRC,Arlington Asset Investment Corp
AAN,Aarons Holdings Company Inc. Common Stock 
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
AAT,American Assets Trust Inc. Common Stock
AB,AllianceBernstein Holding L.P.  Units
ABB,ABB Ltd Common Stock
ABBV,AbbVie Inc. Common Stock
ABC,AmerisourceBergen Corporation Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,Asbury Automotive Group Inc Common Stock
ABM,ABM Industries Incorporated Common Stock
ABR,Arbor Realty Trust Common Stock
ABR.PRA,Arbor Realty Trust
ABR.PRB,Arbor Realty Trust
ABR.PRC,Arbor Realty Trust
ABT,Abbott Laboratories Common Stock
AC,Associated Capital Group Inc. Common Stock
ACA,Arcosa Inc. Common Stock 
ACB,Aurora Cannabis Inc. Common Shares
ACC,American Campus Communities Inc Common Stock
ACCO,Acco Brands Corporation Common Stock
ACEL,Accel Entertainment Inc. 
ACH,Aluminum Corporation of China Limited American Depositary Shares
ACI,Albertsons Companies Inc. Class A Common Stock
ACIC,Atlas Crest Investment Corp. Class A Common Stock
ACIC.U,Atlas Crest Investment Corp. Units each consisting of one Class A common stock and one-third of one redeemable warrant
ACIC.WS,Atlas Crest Investment Corp. Redeemable warrants included as part of the units each whole warrant exercisable for one Class A common stock at an exercise price of $11.50
ACM,AECOM Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares
ACND.U,Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant
ACND.WS,Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share
ACP,Aberdeen Income Credit Strategies Fund Common Shares
ACRE,Ares Commercial Real Estate Corporation Common Stock
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ADC,Agree Realty Corporation Common Stock
ADCT,ADC Therapeutics SA Common Shares
ADEX.U,Adit EdTech Acquisition Corp.
ADM,Archer-Daniels-Midland Company Common Stock
ADNT,Adient plc Ordinary Shares 
ADS,Alliance Data Systems Corporation Common Stock
ADT,ADT Inc. Common Stock
ADX,Adams Diversified Equity Fund Inc.
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
AEE,Ameren Corporation Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,AEGON N.V. Common Stock
AEL,American Equity Investment Life Holding Company Common Stock
AEL.PRA,American Equity Investment Life Holding Company
AEL.PRB,American Equity Investment Life Holding Company
AEM,Agnico Eagle Mines Limited Common Stock
AENZ,Aenza S.A.A. American Depositary Shares
AEO,American Eagle Outfitters Inc. Common Stock
AER,AerCap Holdings N.V. Ordinary Shares
AES,The AES Corporation Common Stock
AFB,AllianceBernstein National Municipal Income Fund Inc
AFC,Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047
AFG,American Financial Group Inc. Common Stock
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
AFI,Armstrong Flooring Inc. Common Stock
AFL,AFLAC Incorporated Common Stock
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGCB,Altimeter Growth Corp. 2
AGCO,AGCO Corporation Common Stock
AGD,Aberdeen Global Dynamic Dividend Fund
AGI,Alamos Gold Inc. Class A Common Shares
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGM.A,Federal Agricultural Mortgage Corporation Common Stock
AGM.PRC,Federal Agricultural Mortgage Corporation
AGM.PRD,Federal Agricultural Mortgage Corporation
AGM.PRE,Federal Agricultural Mortgage Corporation
AGM.PRF,Federal Agricultural Mortgage Corporation
AGO,Assured Guaranty Ltd. Common Stock
AGO.PRB,Assured Guaranty Ltd.
AGO.PRE,Assured Guaranty Ltd.
AGO.PRF,Assured Guaranty Ltd.
AGR,Avangrid Inc. Common Stock
AGRO,Adecoagro S.A. Common Shares
AGS,PlayAGS Inc. Common Stock
AGX,Argan Inc. Common Stock
AHC,A.H. Belo Corporation (TX) Common Stock
AHH,Armada Hoffler Properties Inc. Common Stock
AHH.PRA,Armada Hoffler Properties Inc.
AHL.PRC,Aspen Insurance Holdings Limited
AHL.PRD,Aspen Insurance Holdings Limited
AHL.PRE,Aspen Insurance Holdings Limited
AHT,Ashford Hospitality Trust Inc Common Stock
AHT.PRD,Ashford Hospitality Trust Inc
AHT.PRF,Ashford Hospitality Trust Inc
AHT.PRG,Ashford Hospitality Trust Inc
AHT.PRH,Ashford Hospitality Trust Inc
AHT.PRI,Ashford Hospitality Trust Inc
AI,C3.ai Inc. Class A Common Stock
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
AIF,Apollo Tactical Income Fund Inc. Common Stock
AIG,American International Group Inc. New Common Stock
AIG.PRA,American International Group Inc.
AIN,Albany International Corporation Common Stock
AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares
AIR,AAR Corp. Common Stock
AIRC,Apartment Income REIT Corp. Common Stock
AIT,Applied Industrial Technologies Inc. Common Stock
AIV,Apartment Investment and Management Company Common Stock
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023
AIZ,Assurant Inc. Common Stock
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value
AJAX,Ajax I Class A Ordinary Shares
AJAX.U,Ajax I Units each consisting of one Class A ordinary share and one-fourth of one redeemable warrant
AJAX.WS,Ajax I Redeemable warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50
AJG,Arthur J. Gallagher & Co. Common Stock
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock
AJX,Great Ajax Corp. Common Stock
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKO/A,Embotelladora Andina S.A.
AKO/B,Embotelladora Andina S.A.
AKR,Acadia Realty Trust Common Stock
AL,Air Lease Corporation Class A Common Stock
AL.PRA,Air Lease Corporation
ALB,Albemarle Corporation Common Stock
ALC,Alcon Inc. Ordinary Shares
ALE,Allete Inc.
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALG,Alamo Group Inc. Common Stock
ALIN.PRA,Altera Infrastructure L.P.
ALIN.PRB,Altera Infrastructure L.P.
ALIN.PRE,Altera Infrastructure L.P.
ALK,Alaska Air Group Inc. Common Stock
ALL,Allstate Corporation (The) Common Stock
ALL.PRB,Allstate Corporation (The)
ALL.PRG,Allstate Corporation (The)
ALL.PRH,Allstate Corporation (The)
ALL.PRI,Allstate Corporation (The)
ALLE,Allegion plc Ordinary Shares
ALLY,Ally Financial Inc. Common Stock
ALLY.PRA,Ally Financial Inc.
ALP.PRQ,Alabama Power Company
ALSN,Allison Transmission Holdings Inc. Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTG.PRA,Alta Equipment Group Inc.
ALTG.WS,Alta Equipment Group Inc. Warrants
ALUS,Alussa Energy Acquisition Corp. Class A Ordinary Shares
ALUS.U,Alussa Energy Acquisition Corp. Units each consisting of one Class A Ordinary Share and one-half of one redeemable warrant
ALUS.WS,Alussa Energy Acquisition Corp. Redeemable Warrants each whole warrant exercisable for one Ordinary Share at an exercise price of $11.50
ALV,Autoliv Inc. Common Stock
ALX,Alexander's Inc. Common Stock
AM,Antero Midstream Corporation Common Stock
AMBC,Ambac Financial Group Inc. Common Stock
AMBC.WS,Ambac Financial Group Inc. Warrants
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMG,Affiliated Managers Group Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH.PRD,American Homes 4 Rent
AMH.PRE,American Homes 4 Rent
AMH.PRF,American Homes 4 Rent
AMH.PRG,American Homes 4 Rent
AMH.PRH,American Homes 4 Rent
AMK,AssetMark Financial Holdings Inc. Common Stock
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
AMP,Ameriprise Financial Inc. Common Stock
AMPY,Amplify Energy Corp. Common Stock
AMRC,Ameresco Inc. Class A Common Stock
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMWL,American Well Corporation Class A Common Stock
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
AN,AutoNation Inc. Common Stock
ANET,Arista Networks Inc. Common Stock
ANF,Abercrombie & Fitch Company Common Stock
ANH,Anworth Mortgage Asset Corporation Common Stock
ANH.PRA,Anworth Mortgage Asset  Corporation
ANH.PRB,Anworth Mortgage Asset  Corporation
ANH.PRC,Anworth Mortgage Asset  Corporation
ANTM,Anthem Inc. Common Stock
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
AONE,one Class A Ordinary Shares
AONE.U,one Units each consisting of one Class A Ordinary Share and one third of one Warrant to acquire one Class A Ordinary Share
AONE.WS,one Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50
AOS,A.O. Smith Corporation Common Stock
AP,Ampco-Pittsburgh Corporation Common Stock
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APD,Air Products and Chemicals Inc. Common Stock
APG,APi Group Corporation Common Stock
APH,Amphenol Corporation Common Stock
APLE,Apple Hospitality REIT Inc. Common Shares
APO,Apollo Global Management Inc. Class A Common Stock
APO.PRA,Apollo Global Management Inc
APO.PRB,Apollo Global Management Inc
APRN,Blue Apron Holdings Inc. Class A Common Stock
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares
APSG.U,Apollo Strategic Growth Capital Units each consisting of one Class A Ordinary Share and one-third Warrant
APSG.WS,Apollo Strategic Growth Capital Warrants each exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share
APTS,Preferred Apartment Communities Inc. Common Stock
APTV,Aptiv PLC Ordinary Shares
APTV.PRA,Aptiv PLC
AQN,Algonquin Power & Utilities Corp. Common Shares
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
AQUA,Evoqua Water Technologies Corp. Common Stock
AR,Antero Resources Corporation Common Stock
ARA,American Renal Associates Holdings Inc Common Stock
ARC,ARC Document Solutions Inc. Common Stock
ARCH,Arch Resources Inc. Class A Common Stock
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARD,Ardagh Group S.A. Common Shares
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares
ARE,Alexandria Real Estate Equities Inc. Common Stock
ARES,Ares Management Corporation Class A Common Stock
ARES.PRA,Ares Management Corporation
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
ARGO,Argo Group International Holdings Ltd.
ARGO.PRA,Argo Group International Holdings Ltd.
ARI,Apollo Commercial Real Estate Finance Inc
ARL,American Realty Investors Inc. Common Stock
ARLO,Arlo Technologies Inc. Common Stock
ARMK,Aramark Common Stock
ARNC,Arconic Corporation Common Stock 
AROC,Archrock Inc. Common Stock
ARR,ARMOUR Residential REIT Inc.
ARR.PRC,ARMOUR Residential REIT Inc.
ARW,Arrow Electronics Inc. Common Stock
ASA,ASA  Gold and Precious Metals Limited
ASAN,Asana Inc. Class A Common Stock
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock
ASAQ.U,Atlantic Street Acquisition Corp Units each consisting of one share of Class A common stock and one-half of one Warrant
ASAQ.WS,Atlantic Street Acquisition Corp Warrants each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50 per share
ASB,Associated Banc-Corp Common Stock
ASB.PRC,Associated Banc-Corp
ASB.PRD,Associated Banc-Corp
ASB.PRE,Associated Banc-Corp
ASB.PRF,Associated Banc-Corp
ASC,Ardmore Shipping Corporation Common Stock
ASG,Liberty All-Star Growth Fund Inc.
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest
ASGN,ASGN Incorporated Common Stock
ASH,Ashland Global Holdings Inc. Common Stock
ASIX,AdvanSix Inc. Common Stock 
ASPL,Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares
ASPL.U,Aspirational Consumer Lifestyle Corp. Units each consisting of one Class A ordinary share and one-third of one redeemable warrant
ASPL.WS,Aspirational Consumer Lifestyle Corp. Redeemable Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50
ASPN,Aspen Aerogels Inc. Common Stock
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
AT,Atlantic Power Corporation Ordinary Shares (Canada)
ATA.U,Americas Technology Acquisition Corp. Units each consisting of one Ordinary Share and one half of Redeemable Warrant
ATAC,Altimar Acquisition Corporation Class A Ordinary Shares
ATAC.U,Altimar Acquisition Corporation Units each consisting of one Class A ordinary share and one-third of one redeemable warrant
ATAC.WS,Altimar Acquisition Corporation Redeemable Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50
ATCO,Atlas Corp. Common Shares
ATCO.PRD,Atlas Corp.
ATCO.PRE,Atlas Corp.
ATCO.PRG,Atlas Corp.
ATCO.PRH,Atlas Corp.
ATCO.PRI,Atlas Corp.
ATEN,A10 Networks Inc. Common Stock
ATGE,Adtalem Global Education Inc. Common Stock
ATH,Athene Holding Ltd. Class A Common Shares
ATH.PRA,Athene Holding Ltd.
ATH.PRB,Athene Holding Ltd.
ATH.PRC,Athene Holding Ltd.
ATH.PRD,Athene Holding Ltd.
ATHM,Autohome Inc. American Depositary Shares each representing one class A ordinary share.
ATI,Allegheny Technologies Incorporated Common Stock
ATKR,Atkore International Group Inc. Common Stock
ATO,Atmos Energy Corporation Common Stock
ATR,AptarGroup Inc. Common Stock
ATTO,Atento S.A. Ordinary Shares
ATUS,Altice USA Inc. Class A Common Stock
ATV,Acorn International Inc. ADS
AU,AngloGold Ashanti Limited Common Stock
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AVA,Avista Corporation Common Stock
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
AVAN,Avanti Acquisition Corp. Class A Ordinary Shares
AVAN.U,Avanti Acquisition Corp. Units each consisting of one Class A ordinary share and redeemable warrant
AVAN.WS,Avanti Acquisition Corp. Redeemable Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50
AVB,AvalonBay Communities Inc. Common Stock
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVK,Advent Convertible and Income Fund
AVLR,Avalara Inc. Common Stock
AVNS,Avanos Medical Inc. Common Stock
